,,,,,,service_mode,band_profile,line_type,rate_mode_up,rate_mode_dn,,,rate_dn_max,rate_up_max,rate_dn_min,rate_up_min,snr_dn_min,snr_up_min,snr_dn_target,snr_up_target,snr_dn_max,snr_up_max,,,,,,,,,latency_dn,latency_up,inp_dn,inp_up,pbo_dn,pbo_up,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPTV,60M/5M,750,V60Mx5M_IPTV,60000,5000,VDSL2,17a,Interleaved,Startup,Startup,,,65472,5504,32,32,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,65472,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewCo Bonded,25M/1.5M,3850,VB25Mx1.5M_IPTV,25000,2000,VDSL2,8a,Interleaved,Startup,Startup,27264,1792,13632,896,3408,224,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,13632,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
VDSL DSLAMS,40M/5M,2300,VB40Mx5M_IPTV,40000,5000,VDSL2,8a,Interleaved,Startup,Startup,43648,5504,21824,2752,5456,688,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,21824,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
IPTV,60M/5M,2050,VB60Mx5M_IPTV,60000,5000,VDSL2,8a,Interleaved,Startup,Startup,65472,5504,32736,2752,8184,688,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,32736,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,80M/10M,1800,VB80Mx10M_IPTV,80000,10000,VDSL2,8a,Interleaved,Startup,Startup,87296,11008,43648,5504,10912,1376,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,43648,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,80M/40M,750,VB80Mx40M_IPTV,80000,40000,VDSL2,17a,Interleaved,Startup,Startup,87296,43648,43648,21824,10912,5456,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,43648,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewCo Single,3M/3M,1800,V3Mx3M_IPC,3552,3552,VDSL2,8a,Interleaved,Startup,Startup,,,3552,3552,32,32,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,3552,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
VDSL DSLAMS,5M/5M,1800,V5Mx5M_IPC,5888,5888,VDSL2,8a,Interleaved,Startup,Startup,,,5888,5888,32,32,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,5888,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
IPC,7M/7M,1800,V7Mx7M_IPC,8288,8288,VDSL2,8a,Interleaved,Startup,Startup,,,8288,8288,32,32,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,8288,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,10M/10M,1300,V10Mx10M_IPC,12064,12064,VDSL2,12a,Interleaved,Startup,Startup,,,12064,12064,32,32,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,12064,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,20M/20M,750,V20Mx20M_IPC,24128,24128,VDSL2,12a,Interleaved,Startup,Startup,,,24128,24128,32,32,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,24128,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,30M/30M,500,V30Mx30M_IPC,35520,35520,VDSL2,12a,Interleaved,Startup,Startup,,,35520,35520,32,32,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,35520,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,40M/40M,500,V40Mx40M_IPC,47360,47360,VDSL2,12a,Interleaved,Startup,Startup,,,47360,47360,32,32,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,47360,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewCo Bonded,3M/3M,2300,VB3Mx3M_IPC,3552,3552,VDSL2,8a,Interleaved,Startup,Startup,3648,3648,1824,1824,456,456,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,1824,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
VDSL DSLAMS,5M/5M,2300,VB5Mx5M_IPC,5888,5888,VDSL2,8a,Interleaved,Startup,Startup,6080,6080,3040,3040,760,760,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,3040,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
IPC,7M/7M,2300,VB7Mx7M_IPC,8288,8288,VDSL2,8a,Interleaved,Startup,Startup,8456,8456,4228,4228,1057,1057,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,4228,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,10M/10M,1800,VB10Mx10M_IPC,12064,12064,VDSL2,8a,Interleaved,Startup,Startup,11776,11776,5888,5888,1472,1472,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,5888,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,20M/20M,1300,VB20Mx20M_IPC,24128,24128,VDSL2,12a,Interleaved,Startup,Startup,24128,24128,12064,12064,3016,3016,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,12064,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,30M/30M,1000,VB30Mx30M_IPC,35520,35520,VDSL2,12a,Interleaved,Startup,Startup,36160,36160,18080,18080,4520,4520,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,18080,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,40M/40M,750,VB40Mx40M_IPC,47360,47360,VDSL2,12a,Interleaved,Startup,Startup,48256,48256,24128,24128,6032,6032,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,24128,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewCo Bonded,25M/1.5M,1200,AB25Mx1.5M_IPTV,,,ADSL2+,-,Interleaved,Startup,Startup,27264,1792,13632,896,3408,224,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,13632,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
ADSL2+ DSLAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LQ Single Line,256k/256k,14500,256x256,256,256,ADSLMM,-,Interleaved,Startup,Startup,,,256,256,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,256,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
ADSL,640k/256k,14500,640x256,640,256,ADSLMM,-,Interleaved,Startup,Startup,,,640,256,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,640,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,1536k/640k,14100,1536x640,1536,640,ADSLMM,-,Interleaved,Startup,Startup,,,1536,640,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,1536,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,1536k/896k,14100,1536x896,1536,896,ADSLMM,-,Interleaved,Startup,Startup,,,1536,896,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,1536,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,3072k/640k,10300,3072x640,3072,640,ADSLMM,-,Interleaved,Startup,Startup,,,3072,640,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,3072,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,5120k/896k,7700,5120x896,5120,896,ADSLMM,-,Interleaved,Startup,Startup,,,5120,896,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,5120,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,7168k/896k,6400,7168x896,7168,896,ADSLMM,-,Interleaved,Startup,Startup,,,7168,896,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,7168,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LQ Single Line,10240k/640k,5000,10240x640,10240,640,ADSL2+,-,Interleaved,Startup,Startup,,,10240,640,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,10240,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
ADSL2+,12128k/896k,5000,12128x896,12128,896,ADSL2+,-,Interleaved,Startup,Startup,,,12128,896,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,12128,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
High Speed,18128k/896k,2500,18128x896,18128,896,ADSL2+,-,Interleaved,Startup,Startup,,,18128,896,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,18128,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,20128k/896k,2500,20128x896,20128,896,ADSL2+,-,Interleaved,Startup,Startup,,,20128,896,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,20128,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LQ Bonded,2048k/1536k,4000,2048x1536_bond,2048,1536,ADSL2+,-,Interleaved,Startup,Startup,2048,1536,1024,768,256,192,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,1024,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
ADSL2+,3072k/2048k,4000,3072x2048_bond,3072,2048,ADSL2+,-,Interleaved,Startup,Startup,3072,2048,1536,1024,384,256,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,1536,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
High Speed,5120k/1536k,4000,5120x1536_bond,5120,1536,ADSL2+,-,Interleaved,Startup,Startup,5120,1536,2560,768,640,192,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,2560,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,7168k/2048k,4000,7168x2048_bond ,7168,2048,ADSL2+,-,Interleaved,Startup,Startup,7168,2048,3584,1024,896,256,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,3584,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,10176k/1536k,4000,10176x1536_bond,10176,1536,ADSL2+,-,Interleaved,Startup,Startup,10176,1536,5088,768,1272,192,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,5088,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,12160k/2048k,4000,12160x2048_bond,12160,2048,ADSL2+,-,Interleaved,Startup,Startup,12160,2048,6080,1024,1520,256,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,6080,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,18176k/1536k,4000,18176x1536_bond,18176,1536,ADSL2+,-,Interleaved,Startup,Startup,18176,1536,9088,768,2272,192,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,9088,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,20160k/2048k,4000,20160x2048_bond,20160,2048,ADSL2+,-,Interleaved,Startup,Startup,20160,2048,10080,1024,2520,256,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,10080,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LQ Single Line,640k/256k,8500,640x256_8a,640,256,VDSL2,8a,Interleaved,Startup,Startup,,,640,256,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,640,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
VDSL2,1536k/640k,8500,1536x640_8a,1536,640,VDSL2,8a,Interleaved,Startup,Startup,,,1536,640,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,1536,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
High Speed,1536k/896k,8500,1536x896_8a,1536,896,VDSL2,8a,Interleaved,Startup,Startup,,,1536,896,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,1536,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,3072k/640k,8500,3072x640_8a,3072,640,VDSL2,8a,Interleaved,Startup,Startup,,,3072,640,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,3072,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,5120k/896k,7500,5120x896_8a,5120,896,VDSL2,8a,Interleaved,Startup,Startup,,,5120,896,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,5120,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,7168k/896k,6250,7168x896_8a,7168,896,VDSL2,8a,Interleaved,Startup,Startup,,,7168,896,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,7168,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,10240k/640k,5000,10240x640_8a,10240,640,VDSL2,8a,Interleaved,Startup,Startup,,,10240,640,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,10240,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,12128k/896k,5000,12128x896_8a,12128,896,VDSL2,8a,Interleaved,Startup,Startup,,,12128,896,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,12128,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,18128k/896k,2500,18128x896_8a,18128,896,VDSL2,8a,Interleaved,Startup,Startup,,,18128,896,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,18128,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,20128k/896k,2500,20128x896_8a,20128,896,VDSL2,8a,Interleaved,Startup,Startup,,,20128,896,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,20128,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,3072k/2048k,8500,3072x2048_8a,3072,1024,VDSL2,8a,Interleaved,Startup,Startup,,,3072,2048,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,3072,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,5120k/3072k,2100,5120x3072_8a,5120,3072,VDSL2,8a,Interleaved,Startup,Startup,,,5120,3072,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,5120,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,5120k/5120k,2100,5120x5120_8a,5120,5120,VDSL2,8a,Interleaved,Startup,Startup,,,5120,5120,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,5120,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,7168k/2048k,2600,7168x2048_8a,7168,2048,VDSL2,8a,Interleaved,Startup,Startup,,,7168,2048,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,7168,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,7168k/5120k,2100,7168x5120_8a,7168,5120,VDSL2,8a,Interleaved,Startup,Startup,,,7168,5120,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,7168,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,10240k/3072k,2100,10240x3072_8a,10240,3072,VDSL2,8a,Interleaved,Startup,Startup,,,12040,3072,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,12040,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,12128k/5120k,2100,12128x5120_8a,12128,5120,VDSL2,8a,Interleaved,Startup,Startup,,,12128,5120,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,12128,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,15136k/3072k,2100,15136x3072_8a,15136,3072,VDSL2,8a,Interleaved,Startup,Startup,,,15136,3072,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,15136,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,20128k/5120k,2100,20128x5120_8a,20128,5120,VDSL2,8a,Interleaved,Startup,Startup,,,20128,5120,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,20128,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,35136k/3072k,2100,35136x3072_8a,35136,3072,VDSL2,8a,Interleaved,Startup,Startup,,,35136,3072,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,35136,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,40128k/5120k,2100,40128x5120_8a,40128,5120,VDSL2,8a,Interleaved,Startup,Startup,,,40128,5120,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,40128,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
